signature_id	same_species_rows	needs_translation_rows	unmapped_rows	translated_rows_pre_collapse	output_gene_rows	split_source_rows	split_added_rows	max_split_size	collapse_output_rows	collapse_removed_rows	max_collapse_size	source_gene_rows_in
CAF.ReviewLiu26.Chen25.prolifCAF	0	5	0	5	5	0	0	1	0	0	1	5
CAF.ReviewLiu26.Chen25.smoothMuscleCell	0	5	0	5	5	0	0	1	0	0	1	5
CAF.ReviewLiu26.Friedman20.NMFprogenitor	5	0	0	0	5	0	0	1	0	0	1	5
CAF.ReviewLiu26.Friedman20.pCAF	8	0	0	0	8	0	0	1	0	0	1	8
CAF.ReviewLiu26.Friedman20.sCAF	4	0	0	0	4	0	0	1	0	0	1	4
CAF.ReviewLiu26.Gao24.CTNNB1Fibro	0	3	0	3	3	0	0	1	0	0	1	3
CAF.ReviewLiu26.Gao24.apCAF	0	5	0	5	5	0	0	1	0	0	1	5
CAF.ReviewLiu26.Gao24.iCAF	0	7	2	9	6	2	4	3	3	3	2	7
CAF.ReviewLiu26.Gao24.myCAF	0	9	0	10	10	1	1	2	0	0	1	9
CAF.ReviewLiu26.Gao24.pericyte	0	3	0	3	3	0	0	1	0	0	1	3
CAF.ReviewLiu26.Gao24.progenitorFibro	0	4	0	4	4	0	0	1	0	0	1	4
CAF.ReviewLiu26.Gao24.smoothMuscleCell	0	4	0	4	4	0	0	1	0	0	1	4
CAF.ReviewLiu26.Hutton21.adventitialFirbo	8	0	0	0	8	0	0	1	0	0	1	8
CAF.ReviewLiu26.Hutton21.panParenchymalFibro	10	0	0	0	10	0	0	1	0	0	1	10
CAF.ReviewLiu26.Wu20.dPVL	0	8	0	8	8	0	0	1	0	0	1	8
CAF.ReviewLiu26.Wu20.iCAF	0	8	1	10	10	2	3	3	0	0	1	8
CAF.ReviewLiu26.Wu20.imPVL	0	7	0	7	7	0	0	1	0	0	1	7
CAF.ReviewLiu26.Wu20.myCAF	0	8	0	8	8	0	0	1	0	0	1	8
CAF.Wang21.C0.CAF	0	137	5	155	147	10	23	8	8	8	2	137
CAF.Wang21.C1.CAF	0	156	11	191	166	8	46	15	15	25	3	156
CAF.Wang21.C2.CAF	0	136	9	136	132	3	9	8	2	4	4	136
CAF.Wang21.C3.myCAF	0	182	14	178	178	5	10	6	0	0	1	182
CAF.Wang21.C4.meCAF	0	575	16	584	583	20	25	3	1	1	2	575
CAF.Wang21.C5.CAF	0	35	5	33	33	3	3	2	0	0	1	35
CAF.Xing21.Cancer.associated.Fibroblast	0	6	0	6	6	0	0	1	0	0	1	6
CAF.Xing21.Immune.modulatory.Fibroblast	0	4	0	4	4	0	0	1	0	0	1	4
CAF.Xing21.Myofibroblast	0	6	0	6	6	0	0	1	0	0	1	6
CAF.Xing21.Normal.Fibroblast	0	5	0	5	5	0	0	1	0	0	1	5
CAF.Zhang23.apCAF.CLU	0	259	9	256	252	3	6	5	2	4	4	259
CAF.Zhang23.iCAF.CFD	0	281	5	320	300	16	44	9	14	20	5	281
CAF.Zhang23.myCAF.COMP	0	243	14	245	243	12	16	3	2	2	2	243
CAF.Zhang23.myCAF.CXCL14	0	619	33	601	601	10	15	5	0	0	1	619
CAF.Zhang23.myCAF.MMP11	0	366	12	365	365	7	11	5	0	0	1	366
CAF.Zhang23.myCAF.POSTN	0	177	18	163	163	1	4	5	0	0	1	177
CAF.Zhang23.myCAF.RGS5	0	580	20	571	569	7	11	5	2	2	2	580
CAF.Zhang23.myCAF.TPM1	0	702	33	698	697	19	29	5	1	1	2	702
CANCERSEA.Yuan18.Angiogenesis	0	73	1	72	72	0	0	1	0	0	1	73
CANCERSEA.Yuan18.Apoptosis	0	66	2	66	66	1	2	3	0	0	1	66
CANCERSEA.Yuan18.Cell.Cycle	0	137	5	135	135	2	3	3	0	0	1	137
CANCERSEA.Yuan18.DNA.damage	0	110	2	111	111	3	3	2	0	0	1	110
CANCERSEA.Yuan18.DNA.repair	0	119	1	118	118	0	0	1	0	0	1	119
CANCERSEA.Yuan18.Differentiation	0	201	1	200	200	0	0	1	0	0	1	201
CANCERSEA.Yuan18.EMT	0	90	1	90	90	1	1	2	0	0	1	90
CANCERSEA.Yuan18.Hypoxia	0	83	0	89	89	2	6	6	0	0	1	83
CANCERSEA.Yuan18.Inflammation	0	112	1	124	115	9	13	3	5	9	3	112
CANCERSEA.Yuan18.Invasion	0	97	4	97	97	2	4	4	0	0	1	97
CANCERSEA.Yuan18.Metastasis	0	166	3	174	173	6	11	6	1	1	2	166
CANCERSEA.Yuan18.Proliferation	0	88	0	88	88	0	0	1	0	0	1	88
CANCERSEA.Yuan18.Quiescence	0	66	5	75	68	7	14	5	4	7	3	66
CANCERSEA.Yuan18.Stemness	0	166	9	165	164	6	8	3	1	1	2	166
CCA.Serrano23.Desert-like	0	100	52	55	52	2	7	6	3	3	2	100
CCA.Serrano23.Hepati.Stem-like	0	100	20	90	88	3	10	9	2	2	2	100
CCA.Serrano23.Immune.Classical	0	100	15	120	115	8	35	9	5	5	2	100
CCA.Serrano23.Inflammatory.Stroma	0	100	8	117	117	8	25	9	0	0	1	100
CCA.Serrano23.Tumor.Classical	0	100	23	82	82	3	5	3	0	0	1	100
CCA.Sia13.INFLAMGenes	0	163	67	99	99	3	3	2	0	0	1	163
CCA.Sia13.PROLIFGenes	0	1405	256	1211	1202	27	62	9	9	9	2	1405
CELL.PanglaoDB2020.human.Blood.Erythroblasts	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Blood.Erythroid.like.and.erythroid.precursor.cells	0	9	1	20	11	6	12	5	9	9	2	9
CELL.PanglaoDB2020.human.Blood.Platelets	0	9	2	19	19	3	12	10	0	0	1	9
CELL.PanglaoDB2020.human.Bone.Hematopoietic.stem.cells	0	3	0	5	5	2	2	2	0	0	1	3
CELL.PanglaoDB2020.human.Bone.Osteoblasts	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Bone.Osteoclasts	0	2	0	2	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.human.Brain.Anterior.pituitary.gland.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Brain.Cajal.Retzius.cells	0	1	1	0	0	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Brain.Dopaminergic.neurons	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Brain.Neuroblasts	0	1	0	3	3	1	2	3	0	0	1	1
CELL.PanglaoDB2020.human.Brain.Oligodendrocytes	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Brain.Retinal.ganglion.cells	0	1	1	0	0	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Brain.Satellite.glial.cells	0	1	1	0	0	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Connective.tissue.Adipocyte.progenitor.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Connective.tissue.Adipocytes	0	3	0	3	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.human.Connective.tissue.Chondrocytes	0	1	1	0	0	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Connective.tissue.Fibroblasts	0	2	1	2	2	1	1	2	0	0	1	2
CELL.PanglaoDB2020.human.Connective.tissue.Stromal.cells	0	2	1	2	2	1	1	2	0	0	1	2
CELL.PanglaoDB2020.human.Embryo.Trophoblast.cells	0	5	1	14	14	2	10	10	0	0	1	5
CELL.PanglaoDB2020.human.Epithelium.Basal.cells	0	6	2	5	3	1	1	2	1	2	3	6
CELL.PanglaoDB2020.human.Epithelium.Epithelial.cells	0	8	3	9	9	2	4	3	0	0	1	8
CELL.PanglaoDB2020.human.Eye.Muller.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.GI.tract.Enterocytes	0	9	2	12	11	1	5	6	1	1	2	9
CELL.PanglaoDB2020.human.GI.tract.Enteroendocrine.cells	0	1	1	0	0	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.GI.tract.Gastric.chief.cells	0	1	0	5	5	1	4	5	0	0	1	1
CELL.PanglaoDB2020.human.GI.tract.Paneth.cells	0	4	0	32	22	3	28	18	10	10	2	4
CELL.PanglaoDB2020.human.GI.tract.Parietal.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Heart.Cardiac.stem.and.precursor.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Heart.Cardiomyocytes	0	1	0	3	3	1	2	3	0	0	1	1
CELL.PanglaoDB2020.human.Immune.system.B.cells	0	5	0	10	10	1	5	6	0	0	1	5
CELL.PanglaoDB2020.human.Immune.system.B.cells.memory	0	9	4	20	20	2	15	14	0	0	1	9
CELL.PanglaoDB2020.human.Immune.system.B.cells.naive	0	13	5	8	8	0	0	1	0	0	1	13
CELL.PanglaoDB2020.human.Immune.system.Basophils	0	3	0	3	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.human.Immune.system.Dendritic.cells	0	24	6	69	42	10	51	15	17	27	3	24
CELL.PanglaoDB2020.human.Immune.system.Eosinophils	0	5	0	21	12	2	16	9	9	9	2	5
CELL.PanglaoDB2020.human.Immune.system.Gamma.delta.T.cells	0	21	9	21	13	3	9	4	5	8	5	21
CELL.PanglaoDB2020.human.Immune.system.Macrophages	0	5	1	6	6	1	2	3	0	0	1	5
CELL.PanglaoDB2020.human.Immune.system.Mast.cells	0	2	0	2	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.human.Immune.system.Monocytes	0	14	3	38	37	7	27	11	1	1	2	14
CELL.PanglaoDB2020.human.Immune.system.Myeloid.derived.suppressor.cells	0	4	1	4	4	1	1	2	0	0	1	4
CELL.PanglaoDB2020.human.Immune.system.NK.cells	0	12	4	13	13	2	5	5	0	0	1	12
CELL.PanglaoDB2020.human.Immune.system.Neutrophils	0	9	2	20	20	3	13	10	0	0	1	9
CELL.PanglaoDB2020.human.Immune.system.Plasma.cells	0	19	8	28	21	5	17	6	7	7	2	19
CELL.PanglaoDB2020.human.Immune.system.Plasmacytoid.dendritic.cells	0	2	0	7	7	2	5	5	0	0	1	2
CELL.PanglaoDB2020.human.Immune.system.T.cells	0	8	4	12	12	2	8	5	0	0	1	8
CELL.PanglaoDB2020.human.Immune.system.T.follicular.helper.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Kidney.Juxtaglomerular.cells	0	1	0	2	2	1	1	2	0	0	1	1
CELL.PanglaoDB2020.human.Liver.Cholangiocytes	0	2	0	2	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.human.Liver.Hepatic.stellate.cells	0	1	0	2	2	1	1	2	0	0	1	1
CELL.PanglaoDB2020.human.Liver.Hepatocytes	0	16	0	64	52	10	48	9	10	12	3	16
CELL.PanglaoDB2020.human.Liver.Kupffer.cells	0	3	0	7	7	3	4	3	0	0	1	3
CELL.PanglaoDB2020.human.Lungs.Pulmonary.alveolar.type.II.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Mammary.gland.Luminal.epithelial.cells	0	5	1	16	12	4	12	5	4	4	2	5
CELL.PanglaoDB2020.human.Mammary.gland.Mammary.epithelial.cells	0	1	1	0	0	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Pancreas.Acinar.cells	0	7	1	27	25	5	21	10	2	2	2	7
CELL.PanglaoDB2020.human.Pancreas.Alpha.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Pancreas.Beta.cells	0	2	0	3	3	1	1	2	0	0	1	2
CELL.PanglaoDB2020.human.Pancreas.Delta.cells	0	2	1	1	1	0	0	1	0	0	1	2
CELL.PanglaoDB2020.human.Pancreas.Ductal.cells	0	3	0	20	20	2	17	10	0	0	1	3
CELL.PanglaoDB2020.human.Pancreas.Epsilon.cells	0	3	2	1	1	0	0	1	0	0	1	3
CELL.PanglaoDB2020.human.Pancreas.Gamma.PP.cells	0	4	2	2	2	0	0	1	0	0	1	4
CELL.PanglaoDB2020.human.Reproductive.Decidual.cells	0	2	1	1	1	0	0	1	0	0	1	2
CELL.PanglaoDB2020.human.Reproductive.Germ.cells	0	3	2	1	1	0	0	1	0	0	1	3
CELL.PanglaoDB2020.human.Reproductive.Leydig.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Reproductive.Sertoli.cells	0	3	0	3	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.human.Reproductive.Spermatocytes	0	2	1	1	1	0	0	1	0	0	1	2
CELL.PanglaoDB2020.human.Skin.Keratinocytes	0	3	1	3	3	1	1	2	0	0	1	3
CELL.PanglaoDB2020.human.Skin.Langerhans.cells	0	15	4	15	11	4	4	2	4	4	2	15
CELL.PanglaoDB2020.human.Skin.Melanocytes	0	2	0	2	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.human.Skin.Merkel.cells	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Skin.Sebocytes	0	1	0	1	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Skin.Trichocytes	0	1	1	0	0	0	0	1	0	0	1	1
CELL.PanglaoDB2020.human.Smooth.muscle.Myoepithelial.cells	0	2	0	2	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.human.Thymus.Thymocytes	0	3	1	3	3	1	1	2	0	0	1	3
CELL.PanglaoDB2020.human.Vasculature.Endothelial.cells	0	6	4	4	4	2	2	2	0	0	1	6
CELL.PanglaoDB2020.human.Zygote.Embryonic.stem.cells	0	7	0	13	13	4	6	3	0	0	1	7
CELL.PanglaoDB2020.human.unknown.Pluripotent.stem.cells	0	2	0	3	3	1	1	2	0	0	1	2
CELL.PanglaoDB2020.human.unknown.Taste.receptor.cells	0	3	0	4	4	1	1	2	0	0	1	3
CELL.PanglaoDB2020.mouse.Blood.Erythroid.like.and.erythroid.precursor.cells	12	0	0	0	12	0	0	1	0	0	1	12
CELL.PanglaoDB2020.mouse.Blood.Platelets	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Bone.Osteoblasts	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Brain.Anterior.pituitary.gland.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Brain.Cajal.Retzius.cells	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Brain.Choroid.plexus.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Brain.Ependymal.cells	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Brain.Interneurons	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Brain.Microglia	8	0	0	0	8	0	0	1	0	0	1	8
CELL.PanglaoDB2020.mouse.Brain.Motor.neurons	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Brain.Neural.stem.precursor.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Brain.Neurons	8	0	0	0	8	0	0	1	0	0	1	8
CELL.PanglaoDB2020.mouse.Brain.Purkinje.neurons	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Brain.Retinal.ganglion.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Brain.Schwann.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Brain.Tanycytes	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Brain.Trigeminal.neurons	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Connective.tissue.Adipocytes	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Connective.tissue.Fibroblasts	8	0	0	0	8	0	0	1	0	0	1	8
CELL.PanglaoDB2020.mouse.Embryo.Epiblast.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Epithelium.Epithelial.cells	8	0	0	0	8	0	0	1	0	0	1	8
CELL.PanglaoDB2020.mouse.Epithelium.Mesothelial.cells	5	0	0	0	5	0	0	1	0	0	1	5
CELL.PanglaoDB2020.mouse.Eye.Muller.cells	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Eye.Photoreceptor.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.GI.tract.Enterocytes	12	0	0	0	12	0	0	1	0	0	1	12
CELL.PanglaoDB2020.mouse.GI.tract.Foveolar.cells	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.GI.tract.Goblet.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.GI.tract.Microfold.cells	4	0	0	0	4	0	0	1	0	0	1	4
CELL.PanglaoDB2020.mouse.GI.tract.Paneth.cells	12	0	0	0	12	0	0	1	0	0	1	12
CELL.PanglaoDB2020.mouse.GI.tract.Tuft.cells	5	0	0	0	5	0	0	1	0	0	1	5
CELL.PanglaoDB2020.mouse.Heart.Cardiomyocytes	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Immune.system.B.cells	11	0	0	0	11	0	0	1	0	0	1	11
CELL.PanglaoDB2020.mouse.Immune.system.Basophils	7	0	0	0	7	0	0	1	0	0	1	7
CELL.PanglaoDB2020.mouse.Immune.system.Dendritic.cells	11	0	0	0	11	0	0	1	0	0	1	11
CELL.PanglaoDB2020.mouse.Immune.system.Eosinophils	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Immune.system.Macrophages	24	0	0	0	24	0	0	1	0	0	1	24
CELL.PanglaoDB2020.mouse.Immune.system.Mast.cells	20	0	0	0	20	0	0	1	0	0	1	20
CELL.PanglaoDB2020.mouse.Immune.system.Monocytes	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Immune.system.Myeloid.derived.suppressor.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Immune.system.NK.cells	18	0	0	0	18	0	0	1	0	0	1	18
CELL.PanglaoDB2020.mouse.Immune.system.Natural.killer.T.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Immune.system.Neutrophils	11	0	0	0	11	0	0	1	0	0	1	11
CELL.PanglaoDB2020.mouse.Immune.system.Plasmacytoid.dendritic.cells	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Immune.system.T.cells	9	0	0	0	9	0	0	1	0	0	1	9
CELL.PanglaoDB2020.mouse.Immune.system.T.helper.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Immune.system.T.memory.cells	8	0	0	0	8	0	0	1	0	0	1	8
CELL.PanglaoDB2020.mouse.Kidney.Distal.tubule.cells	6	0	0	0	6	0	0	1	0	0	1	6
CELL.PanglaoDB2020.mouse.Kidney.Juxtaglomerular.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Kidney.Podocytes	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Kidney.Principal.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Kidney.Proximal.tubule.cells	6	0	0	0	6	0	0	1	0	0	1	6
CELL.PanglaoDB2020.mouse.Kidney.Transient.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Liver.Cholangiocytes	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Liver.Hepatocytes	5	0	0	0	5	0	0	1	0	0	1	5
CELL.PanglaoDB2020.mouse.Liver.Kupffer.cells	4	0	0	0	4	0	0	1	0	0	1	4
CELL.PanglaoDB2020.mouse.Lungs.Airway.goblet.cells	5	0	0	0	5	0	0	1	0	0	1	5
CELL.PanglaoDB2020.mouse.Lungs.Alveolar.macrophages	10	0	0	0	10	0	0	1	0	0	1	10
CELL.PanglaoDB2020.mouse.Lungs.Ciliated.cells	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Lungs.Clara.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Lungs.Ionocytes	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.I.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Lungs.Pulmonary.alveolar.type.II.cells	8	0	0	0	8	0	0	1	0	0	1	8
CELL.PanglaoDB2020.mouse.Mammary.gland.Mammary.epithelial.cells	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Olfactory.system.Olfactory.epithelial.cells	5	0	0	0	5	0	0	1	0	0	1	5
CELL.PanglaoDB2020.mouse.Oral.cavity.Salivary.mucous.cells	7	0	0	0	7	0	0	1	0	0	1	7
CELL.PanglaoDB2020.mouse.Pancreas.Acinar.cells	4	0	0	0	4	0	0	1	0	0	1	4
CELL.PanglaoDB2020.mouse.Pancreas.Beta.cells	3	0	0	0	3	0	0	1	0	0	1	3
CELL.PanglaoDB2020.mouse.Pancreas.Epsilon.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Placenta.Undefined.placental.cells	9	0	0	0	9	0	0	1	0	0	1	9
CELL.PanglaoDB2020.mouse.Reproductive.Germ.cells	22	0	0	0	22	0	0	1	0	0	1	22
CELL.PanglaoDB2020.mouse.Reproductive.Granulosa.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Reproductive.Leydig.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Reproductive.Luteal.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Reproductive.Sertoli.cells	9	0	0	0	9	0	0	1	0	0	1	9
CELL.PanglaoDB2020.mouse.Skeletal.muscle.Myocytes	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Skeletal.muscle.Satellite.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Skin.Langerhans.cells	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Skin.Melanocytes	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Thymus.Thymocytes	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells	7	0	0	0	7	0	0	1	0	0	1	7
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells.aorta	5	0	0	0	5	0	0	1	0	0	1	5
CELL.PanglaoDB2020.mouse.Vasculature.Endothelial.cells.blood.brain.barrier	1	0	0	0	1	0	0	1	0	0	1	1
CELL.PanglaoDB2020.mouse.Vasculature.Pericytes	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.Zygote.Embryonic.stem.cells	2	0	0	0	2	0	0	1	0	0	1	2
CELL.PanglaoDB2020.mouse.unknown.Pluripotent.stem.cells	1	0	0	0	1	0	0	1	0	0	1	1
ECM.Helms22.PSCcaf	0	99	0	99	99	0	0	1	0	0	1	99
FIBROBLAST.Gao24.AlveolarFibro.ADH1B+	0	203	13	200	200	8	10	4	0	0	1	203
FIBROBLAST.Gao24.ApFibro.CD74	0	171	38	155	155	12	22	9	0	0	1	171
FIBROBLAST.Gao24.EpithelialCryptFibro.SOX6	0	337	72	329	285	11	64	15	19	44	4	337
FIBROBLAST.Gao24.Fibro.CTNNB1	0	116	12	104	104	0	0	1	0	0	1	116
FIBROBLAST.Gao24.InflaFibro.HGF	0	761	158	642	637	18	39	11	5	5	2	761
