signature_id	same_species_rows	needs_translation_rows	unmapped_rows	translated_rows_pre_collapse	output_gene_rows	split_source_rows	split_added_rows	max_split_size	collapse_output_rows	collapse_removed_rows	max_collapse_size	source_gene_rows_in
FIBROBLAST.Patrick24.F.CI	0	345	14	359	358	24	28	4	1	1	2	345
FIBROBLAST.Patrick24.F.Cyc	0	411	13	422	422	20	24	4	0	0	1	411
FIBROBLAST.Patrick24.F.IFNS	0	149	49	128	107	16	28	7	19	21	3	149
FIBROBLAST.Patrick24.F.SH	0	94	4	96	96	5	6	3	0	0	1	94
FIBROBLAST.Patrick24.F.SL	0	88	3	94	94	6	9	4	0	0	1	88
FIBROBLAST.Patrick24.F.Trans	0	61	1	71	70	3	11	9	1	1	2	61
FIBROBLAST.Patrick24.F.WntX	0	128	6	125	125	2	3	3	0	0	1	128
FIBROBLAST.Patrick24.IR	0	324	15	341	336	21	32	9	5	5	2	324
FIBROBLAST.Patrick24.MFC	0	122	1	123	122	2	2	2	1	1	2	122
FIBROBLAST.Patrick24.MYO	0	176	4	179	179	5	7	3	0	0	1	176
GASTRIC.Bockerstett20.Chief1	2	0	0	0	2	0	0	1	0	0	1	2
GASTRIC.Bockerstett20.Chief2	2	0	0	0	2	0	0	1	0	0	1	2
GASTRIC.Bockerstett20.Endothelial	1	0	0	0	1	0	0	1	0	0	1	1
GASTRIC.Bockerstett20.Foveolar1	3	0	0	0	3	0	0	1	0	0	1	3
GASTRIC.Bockerstett20.Foveolar2	2	0	0	0	2	0	0	1	0	0	1	2
GASTRIC.Bockerstett20.Macrophage	3	0	0	0	3	0	0	1	0	0	1	3
GASTRIC.Bockerstett20.Metaplasic	5	0	0	0	5	0	0	1	0	0	1	5
GASTRIC.Bockerstett20.Mucous.Neck1	1	0	0	0	1	0	0	1	0	0	1	1
GASTRIC.Bockerstett20.Mucous.Neck2	1	0	0	0	1	0	0	1	0	0	1	1
GASTRIC.Bockerstett20.Neuroendocrine	4	0	0	0	4	0	0	1	0	0	1	4
GASTRIC.Bockerstett20.Parietal	2	0	0	0	2	0	0	1	0	0	1	2
GASTRIC.Bockerstett20.Proliftff2	4	0	0	0	4	0	0	1	0	0	1	4
GASTRIC.Bockerstett20.Smooth.muscle	2	0	0	0	2	0	0	1	0	0	1	2
GASTRIC.Bockerstett20.Tcells-Bcells1	3	0	0	0	3	0	0	1	0	0	1	3
GASTRIC.Bockerstett20.Tcells-Bcells2	4	0	0	0	4	0	0	1	0	0	1	4
GASTRIC.Ma21.Acute.SPEM.sig	0	73	6	74	74	6	7	3	0	0	1	73
GASTRIC.Ma21.Chief	0	8	2	12	8	2	6	4	4	4	2	8
GASTRIC.Ma21.Chronic.SPEM.sig	0	54	8	81	51	8	35	7	9	30	5	54
GASTRIC.Ma21.Delta	0	107	9	101	99	3	3	2	2	2	2	107
GASTRIC.Ma21.EC	0	172	13	165	163	6	6	2	2	2	2	172
GASTRIC.Ma21.FoveolarPit	0	69	6	70	66	3	7	4	4	4	2	69
GASTRIC.Ma21.ImmatureFoveolarPit	0	49	8	41	41	0	0	1	0	0	1	49
GASTRIC.Ma21.NeckChief.int	0	17	3	14	14	0	0	1	0	0	1	17
GASTRIC.Ma21.NeckIsthmus	0	40	3	39	39	2	2	2	0	0	1	40
GASTRIC.Ma21.Parietal	0	86	3	89	86	4	6	3	3	3	2	86
GASTRIC.Ma21.Prolif.Isthmus	0	88	4	92	92	5	8	4	0	0	1	88
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Diffuse.like.D4	67	0	0	0	67	0	0	1	0	0	1	67
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.Intestinal.like.D3	26	0	0	0	26	0	0	1	0	0	1	26
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.non.malignant.D1	6	0	0	0	6	0	0	1	0	0	1	6
GASTRIC_CANCER.Kim22.Diffuse.Gastric.Cancer.premalignant.D2	52	0	0	0	52	0	0	1	0	0	1	52
GASTRIC_CANCER.Kim22.Intestinal.Gastric.Cancer.Intestinal.like.I3	65	0	0	0	65	0	0	1	0	0	1	65
GASTRIC_CANCER.Kim22.Intestinal.Gastric.Cancer.non.malignant.I1	16	0	0	0	16	0	0	1	0	0	1	16
GASTRIC_CANCER.Kim22.Intestinal.Gastric.Cancer.premalignant.I2	103	0	0	0	103	0	0	1	0	0	1	103
GASTRIC_CANCER.Sathe20.gastricTumorCell.1	244	0	0	0	244	0	0	1	0	0	1	244
GASTRIC_CANCER.Sathe20.gastricTumorCell.2	297	0	0	0	297	0	0	1	0	0	1	297
GASTRIC_CANCER.Sathe20.normal	591	0	0	0	591	0	0	1	0	0	1	591
GI.Busslinger21.duodenum.normal.cells.single.cell.BCHE.cells	57	0	0	0	57	0	0	1	0	0	1	57
GI.Busslinger21.duodenum.normal.cells.single.cell.D.cells	27	0	0	0	27	0	0	1	0	0	1	27
GI.Busslinger21.duodenum.normal.cells.single.cell.Differentiating.stem.cells	417	0	0	0	417	0	0	1	0	0	1	417
GI.Busslinger21.duodenum.normal.cells.single.cell.EC.cells	31	0	0	0	31	0	0	1	0	0	1	31
GI.Busslinger21.duodenum.normal.cells.single.cell.Early.immature.enterocytes	138	0	0	0	138	0	0	1	0	0	1	138
GI.Busslinger21.duodenum.normal.cells.single.cell.Goblet.cells	24	0	0	0	24	0	0	1	0	0	1	24
GI.Busslinger21.duodenum.normal.cells.single.cell.I.cells	16	0	0	0	16	0	0	1	0	0	1	16
GI.Busslinger21.duodenum.normal.cells.single.cell.Immune.cells	1184	0	0	0	1184	0	0	1	0	0	1	1184
GI.Busslinger21.duodenum.normal.cells.single.cell.K.cells	20	0	0	0	20	0	0	1	0	0	1	20
GI.Busslinger21.duodenum.normal.cells.single.cell.Late.immature.enterocytes	323	0	0	0	323	0	0	1	0	0	1	323
GI.Busslinger21.duodenum.normal.cells.single.cell.MX.cells	13	0	0	0	13	0	0	1	0	0	1	13
GI.Busslinger21.duodenum.normal.cells.single.cell.Mature.enterocytes	1470	0	0	0	1470	0	0	1	0	0	1	1470
GI.Busslinger21.duodenum.normal.cells.single.cell.Paneth.cells	15	0	0	0	15	0	0	1	0	0	1	15
GI.Busslinger21.duodenum.normal.cells.single.cell.Stem.cells	517	0	0	0	517	0	0	1	0	0	1	517
GI.Busslinger21.duodenum.normal.cells.single.cell.Transit.amplifying.cells	254	0	0	0	254	0	0	1	0	0	1	254
GI.Busslinger21.duodenum.normal.cells.single.cell.Tuft.cells	136	0	0	0	136	0	0	1	0	0	1	136
GI.Busslinger21.stomach.normal.cells.single.cell.Antral.ECs	12	0	0	0	12	0	0	1	0	0	1	12
GI.Busslinger21.stomach.normal.cells.single.cell.Chief.cells	189	0	0	0	189	0	0	1	0	0	1	189
GI.Busslinger21.stomach.normal.cells.single.cell.D.cells	39	0	0	0	39	0	0	1	0	0	1	39
GI.Busslinger21.stomach.normal.cells.single.cell.Differentiating.cells	218	0	0	0	218	0	0	1	0	0	1	218
GI.Busslinger21.stomach.normal.cells.single.cell.G.cells	129	0	0	0	129	0	0	1	0	0	1	129
GI.Busslinger21.stomach.normal.cells.single.cell.Immature.pit.cells	316	0	0	0	316	0	0	1	0	0	1	316
GI.Busslinger21.stomach.normal.cells.single.cell.Immune.cells	2114	0	0	0	2114	0	0	1	0	0	1	2114
GI.Busslinger21.stomach.normal.cells.single.cell.Isthmus	633	0	0	0	633	0	0	1	0	0	1	633
GI.Busslinger21.stomach.normal.cells.single.cell.LYZ.positive.cells	192	0	0	0	192	0	0	1	0	0	1	192
GI.Busslinger21.stomach.normal.cells.single.cell.Mature.pit.cells	379	0	0	0	379	0	0	1	0	0	1	379
GI.Busslinger21.stomach.normal.cells.single.cell.Metallothionein.cells	137	0	0	0	137	0	0	1	0	0	1	137
GI.Busslinger21.stomach.normal.cells.single.cell.Neck.cells	102	0	0	0	102	0	0	1	0	0	1	102
GI.Busslinger21.stomach.normal.cells.single.cell.Oxyntic.ECLs	125	0	0	0	125	0	0	1	0	0	1	125
GI.Busslinger21.stomach.normal.cells.single.cell.PPP1R1B.positive.cells	196	0	0	0	196	0	0	1	0	0	1	196
GI.Busslinger21.stomach.normal.cells.single.cell.Parietal.cells	764	0	0	0	764	0	0	1	0	0	1	764
GI.Busslinger21.stomach.normal.cells.single.cell.Prezymogenic.cells	212	0	0	0	212	0	0	1	0	0	1	212
GI.Busslinger21.stomach.normal.cells.single.cell.REG3A.positive.cells	68	0	0	0	68	0	0	1	0	0	1	68
GI.Busslinger21.stomach.normal.cells.single.cell.Tuft.cells	12	0	0	0	12	0	0	1	0	0	1	12
GI.Busslinger21.stomach.normal.cells.single.cell.X.cells	272	0	0	0	272	0	0	1	0	0	1	272
HCC.Petitprez19.andersen.cholangio.subtype1.dn	175	0	0	0	175	0	0	1	0	0	1	175
HCC.Petitprez19.andersen.cholangio.subtype1.up	63	0	0	0	63	0	0	1	0	0	1	63
HCC.Petitprez19.andersen.krt19.avb.dn	75	0	0	0	75	0	0	1	0	0	1	75
HCC.Petitprez19.andersen.krt19.avb.up	35	0	0	0	35	0	0	1	0	0	1	35
HCC.Petitprez19.boyault.liver.cancer.subclass.g3.dn	51	0	0	0	51	0	0	1	0	0	1	51
HCC.Petitprez19.boyault.liver.cancer.subclass.g3.up	188	0	0	0	188	0	0	1	0	0	1	188
HCC.Petitprez19.boyault.up.in.g1	10	0	0	0	10	0	0	1	0	0	1	10
HCC.Petitprez19.boyault.up.in.g12	110	0	0	0	110	0	0	1	0	0	1	110
HCC.Petitprez19.boyault.up.in.g123	105	0	0	0	105	0	0	1	0	0	1	105
HCC.Petitprez19.boyault.up.in.g13	116	0	0	0	116	0	0	1	0	0	1	116
HCC.Petitprez19.boyault.up.in.g2	10	0	0	0	10	0	0	1	0	0	1	10
HCC.Petitprez19.boyault.up.in.g23	107	0	0	0	107	0	0	1	0	0	1	107
HCC.Petitprez19.boyault.up.in.g3	10	0	0	0	10	0	0	1	0	0	1	10
HCC.Petitprez19.boyault.up.in.g4	6	0	0	0	6	0	0	1	0	0	1	6
HCC.Petitprez19.boyault.up.in.g456	111	0	0	0	111	0	0	1	0	0	1	111
HCC.Petitprez19.boyault.up.in.g5	8	0	0	0	8	0	0	1	0	0	1	8
HCC.Petitprez19.boyault.up.in.g56	115	0	0	0	115	0	0	1	0	0	1	115
HCC.Petitprez19.boyault.up.in.g6	10	0	0	0	10	0	0	1	0	0	1	10
HCC.Petitprez19.budhu.liver.cancer.metastasis.dn	7	0	0	0	7	0	0	1	0	0	1	7
HCC.Petitprez19.budhu.liver.cancer.metastasis.up	10	0	0	0	10	0	0	1	0	0	1	10
HCC.Petitprez19.cairo.hepatoblastoma.classes.dn	210	0	0	0	210	0	0	1	0	0	1	210
HCC.Petitprez19.cairo.hepatoblastoma.classes.up	605	0	0	0	605	0	0	1	0	0	1	605
HCC.Petitprez19.chiang.ctnnb1	141	0	0	0	141	0	0	1	0	0	1	141
HCC.Petitprez19.chiang.inflam	22	0	0	0	22	0	0	1	0	0	1	22
HCC.Petitprez19.chiang.liver.cancer.subclass.proliferation.dn	179	0	0	0	179	0	0	1	0	0	1	179
HCC.Petitprez19.chiang.liver.cancer.subclass.proliferation.up	178	0	0	0	178	0	0	1	0	0	1	178
HCC.Petitprez19.chiang.poly7	40	0	0	0	40	0	0	1	0	0	1	40
HCC.Petitprez19.chiang.prolif	148	0	0	0	148	0	0	1	0	0	1	148
HCC.Petitprez19.chiang.unannot	30	0	0	0	30	0	0	1	0	0	1	30
HCC.Petitprez19.coulouarn.temporal.tgfb1.signature.dn	138	0	0	0	138	0	0	1	0	0	1	138
HCC.Petitprez19.coulouarn.temporal.tgfb1.signature.up	109	0	0	0	109	0	0	1	0	0	1	109
HCC.Petitprez19.hao.survival	316	0	0	0	316	0	0	1	0	0	1	316
HCC.Petitprez19.hoshida.liver.cancer.late.recurrence.dn	69	0	0	0	69	0	0	1	0	0	1	69
HCC.Petitprez19.hoshida.liver.cancer.late.recurrence.up	62	0	0	0	62	0	0	1	0	0	1	62
HCC.Petitprez19.hoshida.liver.cancer.subclass.s1	237	0	0	0	237	0	0	1	0	0	1	237
HCC.Petitprez19.hoshida.liver.cancer.subclass.s2	115	0	0	0	115	0	0	1	0	0	1	115
HCC.Petitprez19.hoshida.liver.cancer.subclass.s3	266	0	0	0	266	0	0	1	0	0	1	266
HCC.Petitprez19.hoshida.liver.cancer.survival.dn	113	0	0	0	113	0	0	1	0	0	1	113
HCC.Petitprez19.hoshida.liver.cancer.survival.up	73	0	0	0	73	0	0	1	0	0	1	73
HCC.Petitprez19.iizuka.liver.cancer.early.recurrence	11	0	0	0	11	0	0	1	0	0	1	11
HCC.Petitprez19.kaposi.liver.cancer.met.dn	6	0	0	0	6	0	0	1	0	0	1	6
HCC.Petitprez19.kaposi.liver.cancer.met.up	18	0	0	0	18	0	0	1	0	0	1	18
HCC.Petitprez19.kim.poor.survival.dn	43	0	0	0	43	0	0	1	0	0	1	43
HCC.Petitprez19.kim.poor.survival.up	22	0	0	0	22	0	0	1	0	0	1	22
HCC.Petitprez19.kurokawa.liver.cancer.early.recurrence.dn	7	0	0	0	7	0	0	1	0	0	1	7
HCC.Petitprez19.kurokawa.liver.cancer.early.recurrence.up	12	0	0	0	12	0	0	1	0	0	1	12
HCC.Petitprez19.lee.liver.cancer.survival.dn	175	0	0	0	175	0	0	1	0	0	1	175
HCC.Petitprez19.lee.liver.cancer.survival.up	185	0	0	0	185	0	0	1	0	0	1	185
HCC.Petitprez19.lee.up.in.a	145	0	0	0	145	0	0	1	0	0	1	145
HCC.Petitprez19.lee.up.in.b	154	0	0	0	154	0	0	1	0	0	1	154
HCC.Petitprez19.marquardt.cancer.stem.cell.118	118	0	0	0	118	0	0	1	0	0	1	118
HCC.Petitprez19.marquardt.cancer.stem.cell.618	615	0	0	0	615	0	0	1	0	0	1	615
HCC.Petitprez19.minguez.vascular.invasion.dn	21	0	0	0	21	0	0	1	0	0	1	21
HCC.Petitprez19.minguez.vascular.invasion.up	14	0	0	0	14	0	0	1	0	0	1	14
HCC.Petitprez19.oishi.cholangio.stem.cell.like.dn	279	0	0	0	279	0	0	1	0	0	1	279
HCC.Petitprez19.oishi.cholangio.stem.cell.like.up	344	0	0	0	344	0	0	1	0	0	1	344
HCC.Petitprez19.okamoto.liver.cancer.multicentric.occurrence.dn	6	0	0	0	6	0	0	1	0	0	1	6
HCC.Petitprez19.okamoto.liver.cancer.multicentric.occurrence.up	25	0	0	0	25	0	0	1	0	0	1	25
HCC.Petitprez19.roessler.liver.cancer.metastasis.dn	53	0	0	0	53	0	0	1	0	0	1	53
HCC.Petitprez19.roessler.liver.cancer.metastasis.up	107	0	0	0	107	0	0	1	0	0	1	107
HCC.Petitprez19.wang.recurrent.liver.cancer.dn	16	0	0	0	16	0	0	1	0	0	1	16
HCC.Petitprez19.wang.recurrent.liver.cancer.up	20	0	0	0	20	0	0	1	0	0	1	20
HCC.Petitprez19.woo.cholangio.like.dn	374	0	0	0	374	0	0	1	0	0	1	374
HCC.Petitprez19.woo.cholangio.like.up	251	0	0	0	251	0	0	1	0	0	1	251
HCC.Petitprez19.woo.liver.cancer.recurrence.dn	80	0	0	0	80	0	0	1	0	0	1	80
HCC.Petitprez19.woo.liver.cancer.recurrence.up	105	0	0	0	105	0	0	1	0	0	1	105
HCC.Petitprez19.yamashita.liver.cancer.stem.cell.dn	76	0	0	0	76	0	0	1	0	0	1	76
HCC.Petitprez19.yamashita.liver.cancer.stem.cell.up	47	0	0	0	47	0	0	1	0	0	1	47
HCC.Petitprez19.yamashita.liver.cancer.with.epcam.dn	16	0	0	0	16	0	0	1	0	0	1	16
HCC.Petitprez19.yamashita.liver.cancer.with.epcam.up	53	0	0	0	53	0	0	1	0	0	1	53
HCC.Petitprez19.ye.metastatic.liver.cancer	27	0	0	0	27	0	0	1	0	0	1	27
HCC.Petitprez19.yoshioka.liver.cancer.early.recurrence.dn	65	0	0	0	65	0	0	1	0	0	1	65
HCC.Petitprez19.yoshioka.liver.cancer.early.recurrence.up	40	0	0	0	40	0	0	1	0	0	1	40
IBD.Nie23.B.Plasma.Cycling.GC.B	1588	0	0	0	1588	0	0	1	0	0	1	1588
IBD.Nie23.B.Plasma.Cycling.plasma	1375	0	0	0	1375	0	0	1	0	0	1	1375
IBD.Nie23.B.Plasma.GC.B	1067	0	0	0	1067	0	0	1	0	0	1	1067
IBD.Nie23.B.Plasma.IgA+IgG+.plasma	313	0	0	0	313	0	0	1	0	0	1	313
IBD.Nie23.B.Plasma.IgA-IgG-.plasma	287	0	0	0	287	0	0	1	0	0	1	287
IBD.Nie23.B.Plasma.IgA.plasma	283	0	0	0	283	0	0	1	0	0	1	283
IBD.Nie23.B.Plasma.IgG.plasma	385	0	0	0	385	0	0	1	0	0	1	385
IBD.Nie23.B.Plasma.Memory.B	367	0	0	0	367	0	0	1	0	0	1	367
IBD.Nie23.B.Plasma.Naive.B	454	0	0	0	454	0	0	1	0	0	1	454
IBD.Nie23.B.Plasma.Pro-B	562	0	0	0	562	0	0	1	0	0	1	562
IBD.Nie23.CD4T.CD4+.TNF.high.Trm	201	0	0	0	201	0	0	1	0	0	1	201
IBD.Nie23.CD4T.CD4+.TNF.low.Trm	130	0	0	0	130	0	0	1	0	0	1	130
IBD.Nie23.CD4T.CD4+.Tem	158	0	0	0	158	0	0	1	0	0	1	158
IBD.Nie23.CD4T.CD4+.Tfh	289	0	0	0	289	0	0	1	0	0	1	289
IBD.Nie23.CD4T.CD4+.Th17	339	0	0	0	339	0	0	1	0	0	1	339
IBD.Nie23.CD4T.CD4+.Tn	210	0	0	0	210	0	0	1	0	0	1	210
IBD.Nie23.CD4T.CD4+.Treg	128	0	0	0	128	0	0	1	0	0	1	128
IBD.Nie23.CD4T.CD4+.activated.T	242	0	0	0	242	0	0	1	0	0	1	242
IBD.Nie23.CD4T.CD4+.blood-Tcm	201	0	0	0	201	0	0	1	0	0	1	201
IBD.Nie23.CD4T.CD4+.tissue-Tcm	65	0	0	0	65	0	0	1	0	0	1	65
IBD.Nie23.CD8T.CD8+.IEL	195	0	0	0	195	0	0	1	0	0	1	195
IBD.Nie23.CD8T.CD8+.MAIT	123	0	0	0	123	0	0	1	0	0	1	123
IBD.Nie23.CD8T.CD8+.Tcm	234	0	0	0	234	0	0	1	0	0	1	234
IBD.Nie23.CD8T.CD8+.Teff	215	0	0	0	215	0	0	1	0	0	1	215
IBD.Nie23.CD8T.CD8+.Tem	108	0	0	0	108	0	0	1	0	0	1	108
IBD.Nie23.CD8T.CD8+.Tn	207	0	0	0	207	0	0	1	0	0	1	207
IBD.Nie23.CD8T.CD8+.Trm	107	0	0	0	107	0	0	1	0	0	1	107
IBD.Nie23.CD8T.CD8+.activated.T	231	0	0	0	231	0	0	1	0	0	1	231
IBD.Nie23.Endothelial.Adult.arterial.EC	454	0	0	0	454	0	0	1	0	0	1	454
IBD.Nie23.Endothelial.Adult.arterial.capillary	277	0	0	0	277	0	0	1	0	0	1	277
IBD.Nie23.Endothelial.Adult.venous.EC	307	0	0	0	307	0	0	1	0	0	1	307
IBD.Nie23.Endothelial.Cycling.EC	940	0	0	0	940	0	0	1	0	0	1	940
IBD.Nie23.Endothelial.Fetal.arterial.EC	712	0	0	0	712	0	0	1	0	0	1	712
IBD.Nie23.Endothelial.Fetal.venous.capillary	677	0	0	0	677	0	0	1	0	0	1	677
IBD.Nie23.Endothelial.LEC	521	0	0	0	521	0	0	1	0	0	1	521
IBD.Nie23.Epithelial.Adult.colonocyte	555	0	0	0	555	0	0	1	0	0	1	555
IBD.Nie23.Epithelial.BEST4+.epithelial	334	0	0	0	334	0	0	1	0	0	1	334
IBD.Nie23.Epithelial.Cycling.TA	1129	0	0	0	1129	0	0	1	0	0	1	1129
IBD.Nie23.Epithelial.DUOX2+.epithelial	627	0	0	0	627	0	0	1	0	0	1	627
IBD.Nie23.Epithelial.Enterocyte	507	0	0	0	507	0	0	1	0	0	1	507
IBD.Nie23.Epithelial.Enteroendocrine	585	0	0	0	585	0	0	1	0	0	1	585
IBD.Nie23.Epithelial.Fetal.colonocyte	711	0	0	0	711	0	0	1	0	0	1	711
IBD.Nie23.Epithelial.Fetal.cycling.TA	1602	0	0	0	1602	0	0	1	0	0	1	1602
IBD.Nie23.Epithelial.Fetal.enterocyte	989	0	0	0	989	0	0	1	0	0	1	989
IBD.Nie23.Epithelial.Fetal.progenitor	1268	0	0	0	1268	0	0	1	0	0	1	1268
IBD.Nie23.Epithelial.Goblet	242	0	0	0	242	0	0	1	0	0	1	242
IBD.Nie23.Epithelial.Paneth	67	0	0	0	67	0	0	1	0	0	1	67
IBD.Nie23.Epithelial.Pediatric.colonocyte	426	0	0	0	426	0	0	1	0	0	1	426
IBD.Nie23.Epithelial.TA	379	0	0	0	379	0	0	1	0	0	1	379
IBD.Nie23.Epithelial.Tuft	340	0	0	0	340	0	0	1	0	0	1	340
IBD.Nie23.ILC.CD16+.NK	281	0	0	0	281	0	0	1	0	0	1	281
IBD.Nie23.ILC.CD56+.SELL.high.NK	164	0	0	0	164	0	0	1	0	0	1	164
IBD.Nie23.ILC.CD56+.SELL.low.NK	202	0	0	0	202	0	0	1	0	0	1	202
IBD.Nie23.ILC.NCR+.ILC3	313	0	0	0	313	0	0	1	0	0	1	313
IBD.Nie23.ILC.NCR-.ILC3	428	0	0	0	428	0	0	1	0	0	1	428
IBD.Nie23.Mesenchymal.Cycling.SMC	979	0	0	0	979	0	0	1	0	0	1	979
IBD.Nie23.Mesenchymal.Cycling.stromal	848	0	0	0	848	0	0	1	0	0	1	848
